LOCATION,TIME,Value_disposable_income,Value_adult_education,Value_alcohol_consumption,Value_air_pollution,Value_overweight_population,Value_avg_annual_hours,Happiness Rank,HDI Rank (2017),income_inequality,unemployment,HDI_value,Region,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Netherlands,2015,32034.839359539303,35.330765,8.3,99.82499,57.36666666666667,1426.0,7.0,,6.8,6.9,0.926,Western Europe,7.377999999999999,1.32944,1.28017,0.89284,0.6157600000000001,0.31814000000000003,0.4761,2.4657
Netherlands,2016,32589.319285717997,35.999168,8.2,99.52885,57.800000000000004,1438.0,7.0,,7.3,6.0,0.928,Western Europe,7.3389999999999995,1.46468,1.02912,0.8123100000000001,0.55211,0.29927,0.47416,2.70749
Netherlands,2017,33675.9048360386,37.16811,8.3,99.52885,,1435.0,6.0,10.0,7.8,4.9,0.931,Western Europe,7.3769998550415,1.50394463539124,1.42893922328949,0.8106961250305179,0.5853844881057739,0.282661825418472,0.47048982977867104,2.29480409622192
Norway,2015,36642.3038192088,42.706734000000004,6.0,3.8210699999999997,57.800000000000004,1423.9,4.0,,5.4,4.3,0.948,Western Europe,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.4653099999999997
Norway,2016,36436.4896582349,43.016758,6.0,3.8210699999999997,58.23333333333333,1424.4,4.0,,7.4,4.7,0.951,Western Europe,7.497999999999999,1.57744,1.1269,0.79579,0.59609,0.35775999999999997,0.37895,2.66465
Norway,2017,37559.3135695721,43.207031,6.0,3.8210699999999997,,1419.1,1.0,1.0,7.9,4.2,0.953,Western Europe,7.537000179290769,1.6164631843566901,1.53352355957031,0.796666502952576,0.635422587394714,0.31596383452415505,0.36201223731041,2.27702665328979
New Zealand,2015,25750.1097938576,34.040531,8.7,0.3416,65.2,1757.0,9.0,,7.9,5.4,0.914,Australia and New Zealand,7.2860000000000005,1.2501799999999998,1.3196700000000001,0.9083700000000001,0.6393800000000001,0.42922,0.47501000000000004,2.26425
Poland,2015,19432.7032893112,27.747266999999997,10.5,99.9809,57.86666666666667,1834.0,60.0,,9.3,7.5,0.855,Central and Eastern Europe,5.791,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759000000000002,1.86565
Poland,2016,20453.2647210892,28.711192999999998,10.5,99.94197,58.333333333333336,1836.0,57.0,,9.3,6.2,0.86,Central and Eastern Europe,5.835,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,2.20035
Poland,2017,21330.5641660397,29.919453000000004,10.6,99.94197,,1815.0,46.0,33.0,8.8,5.0,0.865,Central and Eastern Europe,5.97300004959106,1.29178786277771,1.44571197032928,0.699475347995758,0.520342111587524,0.0593078061938286,0.158465966582298,1.7977228164672898
Portugal,2015,22111.5733796499,22.857506,10.5,26.15617,57.03333333333333,1722.0,88.0,,10.1,12.4,0.842,Western Europe,5.102,1.15991,1.13935,0.8751899999999999,0.51469,0.01078,0.13719,1.26462
Portugal,2016,23046.2259987715,23.847389,10.7,13.965629999999999,57.53333333333333,1725.0,94.0,,13.6,11.1,0.845,Western Europe,5.122999999999999,1.27607,0.9436700000000001,0.7936300000000001,0.44727,0.01521,0.11690999999999999,1.53015
Portugal,2017,23897.706108347404,24.039421,10.6,15.065320000000002,,1727.0,89.0,41.0,13.2,9.0,0.847,Western Europe,5.19500017166138,1.3151752948761002,1.36704301834106,0.795843541622162,0.498465299606323,0.0158694516867399,0.0951027125120163,1.10768270492554
Slovakia,2015,20990.8889181359,21.149881,10.2,100.0,55.79999999999999,1754.0,45.0,,6.0,11.5,0.851,Central and Eastern Europe,5.995,1.1689100000000001,1.26999,0.7890199999999999,0.31751,0.03431,0.16893,2.2463900000000003
